ISBN o Codice,Titolo,Autore,Posizione
1,Qumran, La Valle Dei Misteri,franz braumann,B4
8879835866,Il Rosso E Il Nero,stendhal,B4
887983990X,L'Idiota,fedor michajlovic dostoevskij,B4
8879836064,Frankenstein,mary shelley,B4
9788823904552,L'Amante Di Lady Chatterley,david herbert lawrence,B4
8838469148,Lo Sherpa. La Tragedia Di «Aria Sottile» Raccontata Dal Capo Degli Sherpa,jamling tenzing norgay, broughton coburn,B4
883440629X,La Seconda Generazione,margaret weis, tracy hickman,B4
8845247368,Baudolino,umberto eco,B4
3,Eneide,virgilio,B4
2,I Racconti Del Grande Nord E Della Corsa All'Oro,jack london,B4
8838470251,Gli Sherpa Dell'Everest. I Veri Eroi Della Montagna Sacra,judy tenzing, tashi tenzing,B4
8834408381,I Draghi Dell'Estate Di Fuoco,margaret weis, tracy hickman,B4
8845050645,Romanzi,joseph conrad,B4
9788854118553,Robin Hood,alexandre dumas,B4
8834409248,Raistlin - L'Alba Del Male,margaret weis,B4
